state,apps_2019_2020,apps_2020_2021,total_pop,white_pop,black_pop,hispanic_pop,owner_pop,renter_pop,hhi_0_24999_pop,hhi_25k_49999_pop,hhi_200k_plus_pop,apps_2019_2020_per_10k,apps_2020_2021_per_10k,pct_change_apps
Alabama,225545,215479,4864680,3196730,1293186,203146,3311450,1434431,503765,448861,69504,463.63789601782645,442.9458874992805,-0.04462967478773637
Alaska,29370,28431,738516,450754,24129,51186,473217,237900,34368,44288,20134,397.6894204052451,384.9747331134329,-0.03197139938712972
Arizona,303135,297833,6946685,3825886,305259,2163312,4328402,2462278,525729,600396,133692,436.3736084189797,428.74119094215445,-0.017490557012552164
Arkansas,144050,137865,2990671,2173849,460970,219052,1943079,963380,312150,308418,37690,481.6644826528896,460.98350503950456,-0.0429364803887539
California,2147675,2094083,39148760,14695836,2267875,15221577,21294130,17035151,2266017,2438795,1421052,548.5933654092747,534.9040429377584,-0.024953496222659386
Colorado,241016,237010,5531141,3778212,227938,1184794,3622104,1789202,335903,428090,166282,435.74372810239333,428.501099501893,-0.01662130314999834
Connecticut,182338,178715,3581504,2418696,378262,561791,2408700,1057962,220373,243078,162410,509.11013920408857,498.99427726452353,-0.019869692549002404
Delaware,44350,42700,949495,595623,209892,86315,664813,259631,60576,76166,23514,467.09040068668077,449.7127420365563,-0.03720405862457723
District of Columbia,26112,25003,684498,248057,321317,74776,285293,359585,56331,39947,47342,381.47664419764556,365.2749898465737,-0.04247089460784314
Florida,1025567,1007912,20598139,11196857,3316376,5184720,13009337,7157164,1681051,1905753,409038,497.89303781278494,489.32187514609933,-0.01721486748306059
Georgia,600703,598200,10297484,5476441,3239300,968463,6433382,3603768,815427,862886,215171,583.3492919241244,580.9186010874113,-0.00416678458406234
Hawaii,50878,52888,1422029,314536,26266,147962,837800,540198,66406,76866,42578,357.7845458847886,371.91927872075746,0.039506269900546405
Idaho,77196,74830,1687809,1387654,11536,209073,1169931,487848,131560,158215,22323,457.3740275114068,443.35585365405683,-0.030649256438157416
Illinois,619849,604983,12821497,7894286,1824125,2174842,8602939,3920658,940491,993173,367695,483.4451078528506,471.85051792314107,-0.023983260439236008
Indiana,308608,306447,6637426,5275162,619472,450267,4594066,1855681,541312,634489,96657,464.9513229978006,461.6955428203644,-0.007002410825383658
Iowa,131442,128778,3132499,2695888,109911,183296,2241497,790918,243831,292976,53210,419.6074763311976,411.10308415102446,-0.020267494408180035
Kansas,123839,118959,2908776,2214543,169801,340616,1957677,871031,220255,271840,54627,425.74264914176956,408.9658330514278,-0.03940600295545022
Kentucky,210845,205521,4440204,3764082,354112,158744,2955765,1353300,456144,431408,61071,474.8543084957358,462.8638684168565,-0.025250776636865944
Louisiana,253795,247766,4663616,2744265,1502916,234920,3031410,1502811,487123,409395,74483,544.2021813116689,531.2744445511809,-0.02375539313225241
Maine,56658,54334,1332813,1244525,17881,21421,981718,315084,121589,130289,22952,425.1008956245175,407.66409091147824,-0.04101803805287867
Maryland,304401,295039,6003435,3084868,1788090,588912,4031206,1831677,298901,364515,256549,507.044716899575,491.4503113634111,-0.03075548372048712
Massachusetts,317764,307156,6830193,4930412,510558,789127,4364655,2214898,454766,432495,311680,465.23429132968863,449.70325143081607,-0.0333832655681575
Michigan,472871,443598,9957488,7489371,1375424,497897,7142169,2585932,847880,936824,187024,474.8898517377073,445.49187505925187,-0.06190483239615033
Minnesota,254055,244263,5527358,4438071,342186,292764,4034527,1359971,348609,440603,154057,459.6318892317089,441.9163730664813,-0.03854283521284761
Mississippi,165500,160098,2988762,1696952,1125834,90493,1976579,915762,332099,281891,29768,553.740980379167,535.666607110235,-0.0326404833836858
Missouri,269788,259354,6090062,4848330,704896,249105,4104047,1810957,526961,597310,104710,442.997132048902,425.8643015456986,-0.03867481133334322
Montana,37427,36131,1041732,898953,4630,39019,707562,305301,94310,107837,16939,359.2766661674979,346.8358464557103,-0.034627408020947444
Nebraska,84387,83875,1904760,1512314,90860,203281,1285720,567089,141067,177796,33671,443.032193032193,440.34419034419034,-0.006067285245357697
Nevada,123809,127218,2922849,1458093,261123,831597,1630950,1254199,207647,260236,50659,423.5901341465125,435.2534119963091,0.02753434726069995
New Hampshire,54701,53315,1343622,1214547,20516,48356,971783,329259,75843,99131,44540,407.1159894672758,396.8005882606864,-0.02533774519661432
New Jersey,460067,449096,8881845,4960005,1196764,1768020,5772234,2924825,511357,542214,416737,517.9858464091639,505.633683091745,-0.023846526701545644
New Mexico,88570,87082,2092434,788308,43006,1015751,1411420,638056,210786,189804,28863,423.28694716296906,416.17561175167293,-0.016800270972112452
New York,939060,914807,19618453,10959534,3068099,3705588,10836283,8207322,1515257,1400030,712800,478.6615947750824,466.2992540747224,-0.025826890720507742
North Carolina,498713,487590,10155624,6433039,2179622,935950,6540849,3342061,896547,977788,191936,491.0707603983763,480.118208393694,-0.02230340897470088
North Dakota,28261,28092,752201,639477,20445,26529,490887,235766,57082,67839,17483,375.7107475262596,373.4640076256213,-0.005979972400127384
Ohio,522965,504718,11641879,9220638,1438271,431327,7782257,3545527,1035707,1109482,208645,449.21013180088886,433.53654508864076,-0.03489143632939107
Oklahoma,164093,161861,3918137,2586110,287959,407521,2537974,1270040,346757,372451,59235,418.80363039883497,413.1070455167851,-0.013602042744053676
Oregon,179774,171144,4081943,3103557,77789,523956,2545176,1448791,313948,362172,91180,440.4128132117474,419.2709207355419,-0.04800471703360886
Pennsylvania,543974,522738,12791181,9826865,1423319,905156,8908982,3457067,1026802,1112447,302803,425.2726937411018,408.6706301787146,-0.039038630522782336
Rhode Island,50672,49309,1056611,767727,69254,158858,649256,365613,86763,80813,27466,479.57100579115684,466.6712725875464,-0.026898484370066308
South Carolina,242176,234559,4955925,3156973,1339360,275685,3345363,1473765,456515,473582,76628,488.659533790362,473.2900518066759,-0.031452332188160674
South Dakota,33360,32418,864289,710810,16241,31995,590109,240172,67396,84008,13388,385.98200370477934,375.0828715857774,-0.028237410071942446
Tennessee,363244,352116,6651089,4924145,1117489,352402,4377881,2118314,618194,643334,110584,546.142143038531,529.4110483260711,-0.03063505522458733
Texas,1401071,1417776,27885195,11807263,3365783,10921556,17683785,9601665,1910752,2140982,657562,502.4426043999334,508.43323849806325,0.011923021745507544
Utah,143752,145248,3045350,2394238,35862,422123,2174629,824044,134759,198961,54814,472.03769681645787,476.9501042573103,0.010406811731315043
Vermont,23604,22595,624977,581023,8058,11677,442088,157514,50869,57416,12883,377.67789854666654,361.53330442560286,-0.04274699203524826
Virginia,391950,383797,8413774,5233111,1613285,771177,5522835,2646746,511222,594577,314524,465.8432708080821,456.153207823267,-0.02080112259216737
Washington,315976,308574,7294336,5039208,269854,911573,4652472,2499304,444042,549763,234221,433.1799357748258,423.03233632231917,-0.023425829809858977
West Virginia,77076,75031,1829054,1684756,66728,27522,1325528,455507,208844,191280,19616,421.39816539041493,410.2175222820103,-0.026532253879287974
Wisconsin,237135,227941,5778394,4711038,368744,385779,3953652,1678088,444260,547794,103661,410.3821926992171,394.4711973603739,-0.0387711641048348
Wyoming,21661,22220,581836,489559,5540,56966,406435,161204,41974,51551,9515,372.2870362095161,381.89455447926906,0.025806749457550435
